ProductID,StoreID,Status,ID,Unit,Amount,Date
12,5,Sold,36510074431,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,35261794581,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,23806384593,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,333594642117,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,360210029131,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,407034971140,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,324608468151,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,496794428168,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,243750127253,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,466795008257,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,340236122286,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,456379396312,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,226336721380,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,217671494393,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,274455362542,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,417420029562,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,549818912619,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,389819215651,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,394655426679,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,564496112772,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,282945137815,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,530357484823,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,473460684824,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,302415640847,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,559284561881,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,524058397891,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,199476955933,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,423342326970,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,118922031993,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,323907949999,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,2593339671002,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,2443648861015,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,3655121431047,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,3475705371205,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,3811297141260,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,4812206031273,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,2155852171315,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,2926243271331,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,3412124901363,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,4664385061368,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,1116265281439,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,2315550841447,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,3525489221469,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,3793536551490,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,5763280531494,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,2269829391511,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,4161564381519,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,5423152911531,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,5725717111593,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,3545952661609,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,4549230201667,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,2708997081692,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,2180400651730,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,3149551651738,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,5277889151776,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,2577657351777,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,2602184221791,1,$40 ,"Sunday, January 6, 2019"
12,5,Sold,3590825551824,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,4895606791847,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,3509065081903,1,$40 ,"Sunday, January 13, 2019"
12,5,Sold,5028955191923,1,$40 ,"Sunday, January 27, 2019"
12,5,Sold,4025262551933,1,$40 ,"Sunday, January 20, 2019"
12,5,Sold,2753479572013,1,$40 ,"Sunday, January 6, 2019"
