ID,Unit,Gender,Product,Category,Segment,Store,Type,Issue,Promotion,Amount,Age,Price Range
208044689883,1,Male,Kaizala,Office 365,Cyan,Fama,Internal,None,None,$50 ,21 to 25 years,$40 - $70
314798435888,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
278979498943,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
4342779911024,1,Male,Kaizala,Office 365,Cyan,Pomum,External,None,None,$50 ,21 to 25 years,$40 - $70
4596435891096,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
2792881731137,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
5933112231146,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
3331698251411,1,Male,Kaizala,Office 365,Cyan,Pomum,External,None,None,$50 ,21 to 25 years,$40 - $70
3881914601486,1,Male,Kaizala,Office 365,Cyan,Aliqui,External,None,None,$50 ,21 to 25 years,$40 - $70
3449064271527,1,Male,Kaizala,Office 365,Cyan,Aliqui,External,None,None,$50 ,21 to 25 years,$40 - $70
4020560681645,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
4720726171742,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
4258634521783,1,Male,Kaizala,Office 365,Cyan,Natura,External,None,None,$50 ,21 to 25 years,$40 - $70
2503261881817,1,Male,Kaizala,Office 365,Cyan,Fama,Internal,None,None,$50 ,21 to 25 years,$40 - $70
4221472191841,1,Male,Kaizala,Office 365,Cyan,Aliqui,External,None,None,$50 ,21 to 25 years,$40 - $70
2385404811870,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
2385732291877,1,Male,Kaizala,Office 365,Cyan,Abbas,External,None,None,$50 ,21 to 25 years,$40 - $70
3572996201962,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
3844955602177,1,Male,Kaizala,Office 365,Cyan,Pomum,External,None,None,$50 ,21 to 25 years,$40 - $70
4318834282179,1,Male,Kaizala,Office 365,Cyan,Pirum,External,None,None,$50 ,21 to 25 years,$40 - $70
5057926652274,1,Male,Kaizala,Office 365,Cyan,Natura,External,None,None,$50 ,21 to 25 years,$40 - $70
4747991642283,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
4751679572300,1,Male,Kaizala,Office 365,Cyan,Aliqui,External,None,None,$50 ,21 to 25 years,$40 - $70
3489755562493,1,Male,Kaizala,Office 365,Cyan,Fama,Internal,None,None,$50 ,21 to 25 years,$40 - $70
3100325942506,1,Male,Kaizala,Office 365,Cyan,Contoso,Internal,None,None,$50 ,21 to 25 years,$40 - $70
8666860106654,1,Male,Kaizala,Office 365,Cyan,Pomum,External,None,None,$50 ,21 to 25 years,$40 - $70
7830925016676,1,Male,Kaizala,Office 365,Cyan,Pomum,External,None,None,$50 ,21 to 25 years,$40 - $70
6425117086791,1,Male,Kaizala,Office 365,Cyan,Pomum,External,None,None,$50 ,21 to 25 years,$40 - $70
6740373686870,1,Male,Kaizala,Office 365,Cyan,Barba,External,None,None,$50 ,21 to 25 years,$40 - $70
6880070756905,1,Male,Kaizala,Office 365,Cyan,Barba,External,None,None,$50 ,21 to 25 years,$40 - $70
6466462096940,1,Male,Kaizala,Office 365,Cyan,Fama,Internal,None,None,$50 ,21 to 25 years,$40 - $70
8289541826982,1,Male,Kaizala,Office 365,Cyan,Pomum,External,None,None,$50 ,21 to 25 years,$40 - $70
6062751147035,1,Male,Kaizala,Office 365,Cyan,Victoria,Internal,None,None,$50 ,21 to 25 years,$40 - $70
7094762507048,1,Male,Kaizala,Office 365,Cyan,Pomum,External,None,None,$50 ,21 to 25 years,$40 - $70
6376730187158,1,Male,Kaizala,Office 365,Cyan,Barba,External,None,None,$50 ,21 to 25 years,$40 - $70
